,idx,real_data,sim_data,timestep,timeunit,Diff
409,409,0,5,1200.0,10000.0,5
410,410,0,0,1200.0,10000.0,0
411,411,0,0,1200.0,10000.0,0
412,412,1,2,1200.0,10000.0,1
413,413,0,0,1200.0,10000.0,0
414,414,2,0,1200.0,10000.0,2
415,415,1,0,1200.0,10000.0,1
416,416,2,1,1200.0,10000.0,1
417,417,1,0,1200.0,10000.0,1
418,418,1,0,1200.0,10000.0,1
419,419,2,0,1200.0,10000.0,2
420,420,2,0,1200.0,10000.0,2
421,421,1,0,1200.0,10000.0,1
422,422,1,0,1200.0,10000.0,1
423,423,1,0,1200.0,10000.0,1
424,424,2,0,1200.0,10000.0,2
425,425,0,0,1200.0,10000.0,0
426,426,3,0,1200.0,10000.0,3
427,427,4,0,1200.0,10000.0,4
428,428,3,0,1200.0,10000.0,3
429,429,3,2,1200.0,10000.0,1
430,430,1,0,1200.0,10000.0,1
431,431,0,1,1200.0,10000.0,1
432,432,4,1,1200.0,10000.0,3
433,433,3,1,1200.0,10000.0,2
434,434,3,0,1200.0,10000.0,3
435,435,2,4,1200.0,10000.0,2
436,436,1,0,1200.0,10000.0,1
437,437,4,0,1200.0,10000.0,4
438,438,3,2,1200.0,10000.0,1
439,439,4,0,1200.0,10000.0,4
440,440,4,0,1200.0,10000.0,4
441,441,2,0,1200.0,10000.0,2
442,442,3,0,1200.0,10000.0,3
443,443,2,0,1200.0,10000.0,2
444,444,3,3,1200.0,10000.0,0
445,445,5,0,1200.0,10000.0,5
446,446,4,0,1200.0,10000.0,4
447,447,3,1,1200.0,10000.0,2
448,448,2,0,1200.0,10000.0,2
449,449,1,0,1200.0,10000.0,1
450,450,0,0,1200.0,10000.0,0
451,451,2,2,1200.0,10000.0,0
452,452,5,0,1200.0,10000.0,5
453,453,4,0,1200.0,10000.0,4
454,454,2,0,1200.0,10000.0,2
455,455,0,0,1200.0,10000.0,0
456,456,0,0,1200.0,10000.0,0
457,457,0,5,1200.0,10000.0,5
458,458,0,2,1200.0,10000.0,2
459,459,0,1,1200.0,10000.0,1
460,460,1,4,1200.0,10000.0,3
461,461,2,0,1200.0,10000.0,2
462,462,2,0,1200.0,10000.0,2
463,463,3,0,1200.0,10000.0,3
464,464,2,0,1200.0,10000.0,2
465,465,0,0,1200.0,10000.0,0
466,466,1,0,1200.0,10000.0,1
467,467,0,2,1200.0,10000.0,2
468,468,0,1,1200.0,10000.0,1
469,469,0,0,1200.0,10000.0,0
470,470,1,2,1200.0,10000.0,1
471,471,0,2,1200.0,10000.0,2
472,472,0,0,1200.0,10000.0,0
473,473,1,3,1200.0,10000.0,2
474,474,2,2,1200.0,10000.0,0
475,475,2,0,1200.0,10000.0,2
476,476,1,0,1200.0,10000.0,1
477,477,0,0,1200.0,10000.0,0
478,478,0,1,1200.0,10000.0,1
479,479,0,0,1200.0,10000.0,0
480,480,0,0,1200.0,10000.0,0
481,481,1,0,1200.0,10000.0,1
482,482,0,1,1200.0,10000.0,1
483,483,0,1,1200.0,10000.0,1
484,484,1,0,1200.0,10000.0,1
485,485,4,0,1200.0,10000.0,4
486,486,0,2,1200.0,10000.0,2
487,487,1,0,1200.0,10000.0,1
488,488,1,0,1200.0,10000.0,1
489,489,1,0,1200.0,10000.0,1
490,490,5,0,1200.0,10000.0,5
491,491,1,0,1200.0,10000.0,1
492,492,0,0,1200.0,10000.0,0
493,493,0,1,1200.0,10000.0,1
494,494,1,0,1200.0,10000.0,1
495,495,1,0,1200.0,10000.0,1
496,496,1,0,1200.0,10000.0,1
497,497,0,0,1200.0,10000.0,0
498,498,1,0,1200.0,10000.0,1
499,499,0,0,1200.0,10000.0,0
500,500,0,0,1200.0,10000.0,0
501,501,0,0,1200.0,10000.0,0
502,502,1,0,1200.0,10000.0,1
503,503,1,0,1200.0,10000.0,1
504,504,1,0,1200.0,10000.0,1
505,505,0,0,1200.0,10000.0,0
506,506,1,0,1200.0,10000.0,1
507,507,1,0,1200.0,10000.0,1
508,508,2,2,1200.0,10000.0,0
509,509,0,1,1200.0,10000.0,1
510,510,0,0,1200.0,10000.0,0
511,511,1,0,1200.0,10000.0,1
512,512,2,0,1200.0,10000.0,2
513,513,0,0,1200.0,10000.0,0
514,514,0,0,1200.0,10000.0,0
515,515,1,0,1200.0,10000.0,1
516,516,3,2,1200.0,10000.0,1
517,517,1,0,1200.0,10000.0,1
518,518,3,0,1200.0,10000.0,3
519,519,2,0,1200.0,10000.0,2
520,520,2,0,1200.0,10000.0,2
521,521,1,0,1200.0,10000.0,1
522,522,2,0,1200.0,10000.0,2
523,523,1,1,1200.0,10000.0,0
524,524,2,3,1200.0,10000.0,1
525,525,3,0,1200.0,10000.0,3
526,526,0,0,1200.0,10000.0,0
527,527,2,0,1200.0,10000.0,2
528,528,3,1,1200.0,10000.0,2
529,529,0,0,1200.0,10000.0,0
530,530,3,2,1200.0,10000.0,1
531,531,2,2,1200.0,10000.0,0
532,532,0,0,1200.0,10000.0,0
533,533,2,0,1200.0,10000.0,2
534,534,0,3,1200.0,10000.0,3
535,535,0,0,1200.0,10000.0,0
536,536,0,0,1200.0,10000.0,0
537,537,0,0,1200.0,10000.0,0
538,538,0,0,1200.0,10000.0,0
539,539,2,3,1200.0,10000.0,1
540,540,2,0,1200.0,10000.0,2
541,541,1,0,1200.0,10000.0,1
542,542,2,1,1200.0,10000.0,1
543,543,1,0,1200.0,10000.0,1
544,544,1,0,1200.0,10000.0,1
545,545,2,0,1200.0,10000.0,2
546,546,0,0,1200.0,10000.0,0
547,547,1,0,1200.0,10000.0,1
548,548,0,0,1200.0,10000.0,0
549,549,0,1,1200.0,10000.0,1
550,550,0,0,1200.0,10000.0,0
551,551,1,0,1200.0,10000.0,1
552,552,3,0,1200.0,10000.0,3
553,553,1,0,1200.0,10000.0,1
554,554,1,0,1200.0,10000.0,1
555,555,1,0,1200.0,10000.0,1
556,556,0,0,1200.0,10000.0,0
557,557,0,0,1200.0,10000.0,0
558,558,0,0,1200.0,10000.0,0
559,559,1,0,1200.0,10000.0,1
560,560,1,0,1200.0,10000.0,1
561,561,1,0,1200.0,10000.0,1
562,562,0,0,1200.0,10000.0,0
563,563,0,0,1200.0,10000.0,0
564,564,4,0,1200.0,10000.0,4
565,565,4,0,1200.0,10000.0,4
566,566,6,0,1200.0,10000.0,6
567,567,4,1,1200.0,10000.0,3
568,568,4,0,1200.0,10000.0,4
569,569,5,0,1200.0,10000.0,5
570,570,1,1,1200.0,10000.0,0
571,571,0,0,1200.0,10000.0,0
572,572,1,2,1200.0,10000.0,1
573,573,0,0,1200.0,10000.0,0
574,574,0,0,1200.0,10000.0,0
575,575,2,0,1200.0,10000.0,2
576,576,1,0,1200.0,10000.0,1
577,577,2,1,1200.0,10000.0,1
578,578,0,0,1200.0,10000.0,0
579,579,0,1,1200.0,10000.0,1
580,580,0,0,1200.0,10000.0,0
581,581,0,0,1200.0,10000.0,0
582,582,0,0,1200.0,10000.0,0
583,583,0,0,1200.0,10000.0,0
584,584,1,0,1200.0,10000.0,1
585,585,0,1,1200.0,10000.0,1
586,586,0,2,1200.0,10000.0,2
587,587,2,0,1200.0,10000.0,2
588,588,2,0,1200.0,10000.0,2
589,589,1,0,1200.0,10000.0,1
590,590,0,0,1200.0,10000.0,0
591,591,1,0,1200.0,10000.0,1
592,592,0,0,1200.0,10000.0,0
593,593,0,0,1200.0,10000.0,0
594,594,1,0,1200.0,10000.0,1
595,595,0,0,1200.0,10000.0,0
596,596,0,0,1200.0,10000.0,0
597,597,1,0,1200.0,10000.0,1
598,598,0,0,1200.0,10000.0,0
599,599,3,0,1200.0,10000.0,3
600,600,0,0,1200.0,10000.0,0
601,601,1,0,1200.0,10000.0,1
602,602,0,0,1200.0,10000.0,0
603,603,0,1,1200.0,10000.0,1
604,604,0,1,1200.0,10000.0,1
